"Date","Value"
"10/26/1960",0.0914
"10/27/1960",0.0911
"10/28/1960",0.0915
"10/31/1960",0.0926
"11/01/1960",0.092
"11/02/1960",0.092
"11/03/1960",0.092
"11/04/1960",0.0918
"11/07/1960",0.0918
"11/09/1960",0.0924
"11/10/1960",0.0915
"11/11/1960",0.0916
"11/14/1960",0.0898
"11/15/1960",0.09
"11/16/1960",0.0901
"11/17/1960",0.0912
"11/18/1960",0.0906
"11/21/1960",0.0899
"11/22/1960",0.0898
"11/23/1960",0.0906
"11/25/1960",0.0906
"11/28/1960",0.0901
"11/29/1960",0.0885
"11/30/1960",0.089
"12/01/1960",0.0888
"12/02/1960",0.0891
"12/05/1960",0.0893
"12/06/1960",0.0896
"12/07/1960",0.0901
"12/08/1960",0.0902
"12/09/1960",0.0903
"12/12/1960",0.091
"12/13/1960",0.09
"12/14/1960",0.0898
"12/15/1960",0.0896
"12/16/1960",0.0901
"12/19/1960",0.0905
"12/20/1960",0.0899
"12/21/1960",0.0909
"12/22/1960",0.091
"12/23/1960",0.0916
"12/27/1960",0.0912
"12/28/1960",0.0918
"12/29/1960",0.0928
"12/30/1960",0.0932
"01/03/1961",0.0946
"01/04/1961",0.0944
"01/05/1961",0.0954
"01/06/1961",0.0988
"01/09/1961",0.1004
"01/10/1961",0.0997
"01/11/1961",0.0998
"01/12/1961",0.1003
"01/13/1961",0.1017
"01/16/1961",0.1053
"01/17/1961",0.1063
"01/18/1961",0.1045
"01/19/1961",0.1039
"01/20/1961",0.1025
"01/23/1961",0.1038
"01/24/1961",0.1055
"01/25/1961",0.1051
"01/26/1961",0.107
"01/27/1961",0.1068
"01/30/1961",0.1095
"01/31/1961",0.1067
"02/01/1961",0.1098
"02/02/1961",0.1103
"02/03/1961",0.1122
"02/06/1961",0.115
"02/07/1961",0.1126
"02/08/1961",0.1154
"02/09/1961",0.116
"02/10/1961",0.1167
"02/13/1961",0.1172
"02/14/1961",0.118
"02/15/1961",0.118
"02/16/1961",0.1186
"02/17/1961",0.1168
"02/20/1961",0.1153
"02/21/1961",0.1161
"02/23/1961",0.1195
"02/24/1961",0.12
"02/27/1961",0.1224
"02/28/1961",0.122
"03/01/1961",0.116
"03/02/1961",0.117
"03/03/1961",0.1184
"03/06/1961",0.119
"03/07/1961",0.1174
"03/08/1961",0.117
"03/09/1961",0.1145
"03/10/1961",0.1157
"03/13/1961",0.1117
"03/14/1961",0.1142
"03/15/1961",0.1121
"03/16/1961",0.1133
"03/17/1961",0.113
"03/20/1961",0.112
"03/21/1961",0.1122
"03/22/1961",0.114
"03/23/1961",0.1162
"03/24/1961",0.1161
"03/27/1961",0.1157
"03/28/1961",0.1163
"03/29/1961",0.114
"03/30/1961",0.1151
"04/03/1961",0.115
"04/04/1961",0.1161
"04/05/1961",0.1181
"04/06/1961",0.119
"04/07/1961",0.1178
"04/10/1961",0.1205
"04/11/1961",0.126
"04/12/1961",0.1237
"04/13/1961",0.123
"04/14/1961",0.1228
"04/17/1961",0.1181
"04/18/1961",0.1228
"04/19/1961",0.1241
"04/20/1961",0.123
"04/21/1961",0.1237
"04/24/1961",0.1238
"04/25/1961",0.1278
"04/26/1961",0.1244
"04/27/1961",0.1242
"04/28/1961",0.1247
"05/01/1961",0.1246
"05/02/1961",0.1242
"05/03/1961",0.123
"05/04/1961",0.1218
"05/05/1961",0.1206
"05/08/1961",0.1197
"05/09/1961",0.1173
"05/10/1961",0.1192
"05/11/1961",0.119
"05/12/1961",0.12
"05/15/1961",0.1186
"05/16/1961",0.1182
"05/17/1961",0.1193
"05/18/1961",0.1193
"05/19/1961",0.1185
"05/22/1961",0.115
"05/23/1961",0.1157
"05/24/1961",0.1153
"05/25/1961",0.1155
"05/26/1961",0.113
"05/29/1961",0.1138
"05/31/1961",0.1162
"06/01/1961",0.1159
"06/02/1961",0.116
"06/05/1961",0.1169
"06/06/1961",0.115
"06/07/1961",0.1157
"06/08/1961",0.1157
"06/09/1961",0.1132
"06/12/1961",0.1092
"06/13/1961",0.1092
"06/14/1961",0.1112
"06/15/1961",0.1074
"06/16/1961",0.108
"06/19/1961",0.1073
"06/20/1961",0.1067
"06/21/1961",0.1059
"06/22/1961",0.107
"06/23/1961",0.1084
"06/26/1961",0.1058
"06/27/1961",0.1061
"06/28/1961",0.1067
"06/29/1961",0.108
"06/30/1961",0.1095
"07/03/1961",0.1127
"07/05/1961",0.1127
"07/06/1961",0.111
"07/07/1961",0.1092
"07/10/1961",0.1083
"07/11/1961",0.1086
"07/12/1961",0.1071
"07/13/1961",0.1074
"07/14/1961",0.1042
"07/17/1961",0.1034
"07/18/1961",0.1048
"07/19/1961",0.1056
"07/20/1961",0.1038
"07/21/1961",0.1052
"07/24/1961",0.1062
"07/25/1961",0.1093
"07/26/1961",0.1085
"07/27/1961",0.1089
"07/28/1961",0.1088
"07/31/1961",0.1089
"08/01/1961",0.1075
"08/02/1961",0.1085
"08/03/1961",0.1078
"08/04/1961",0.1083
"08/07/1961",0.108
"08/08/1961",0.1076
"08/09/1961",0.1072
"08/10/1961",0.1081
"08/11/1961",0.1078
"08/14/1961",0.1084
"08/15/1961",0.1102
"08/16/1961",0.109
"08/17/1961",0.1102
"08/18/1961",0.1102
"08/21/1961",0.1087
"08/22/1961",0.1074
"08/23/1961",0.1085
"08/24/1961",0.1082
"08/25/1961",0.1082
"08/28/1961",0.1074
"08/29/1961",0.1069
"08/30/1961",0.107
"08/31/1961",0.1066
"09/01/1961",0.1059
"09/05/1961",0.1055
"09/06/1961",0.1049
"09/07/1961",0.1042
"09/08/1961",0.1046
"09/11/1961",0.1053
"09/12/1961",0.1061
"09/13/1961",0.1053
"09/14/1961",0.1043
"09/15/1961",0.1041
"09/18/1961",0.1034
"09/19/1961",0.1036
"09/20/1961",0.1041
"09/21/1961",0.1048
"09/22/1961",0.1048
"09/25/1961",0.1048
"09/26/1961",0.1043
"09/27/1961",0.1053
"09/28/1961",0.1054
"09/29/1961",0.1058
"10/02/1961",0.1066
"10/03/1961",0.1088
"10/04/1961",0.1095
"10/05/1961",0.1091
"10/06/1961",0.108
"10/09/1961",0.1086
"10/10/1961",0.1092
"10/11/1961",0.1085
"10/12/1961",0.1075
"10/13/1961",0.1094
"10/16/1961",0.1083
"10/17/1961",0.1074
"10/18/1961",0.1077
"10/19/1961",0.1068
"10/20/1961",0.1066
"10/23/1961",0.1066
"10/24/1961",0.1055
"10/25/1961",0.1055
"10/26/1961",0.1044
"10/27/1961",0.1043
"10/30/1961",0.1041
"10/31/1961",0.1041
"11/01/1961",0.1041
"11/02/1961",0.1037
"11/03/1961",0.104
"11/06/1961",0.1047
"11/07/1961",0.105
"11/08/1961",0.1043
"11/09/1961",0.1038
"11/10/1961",0.1057
"11/13/1961",0.1049
"11/14/1961",0.1041
"11/15/1961",0.1038
"11/16/1961",0.1037
"11/17/1961",0.1037
"11/20/1961",0.1031
"11/21/1961",0.1043
"11/22/1961",0.1038
"11/24/1961",0.1041
"11/27/1961",0.1036
"11/28/1961",0.1036
"11/29/1961",0.1035
"11/30/1961",0.1043
"12/01/1961",0.1039
"12/04/1961",0.1042
"12/05/1961",0.1042
"12/06/1961",0.1049
"12/07/1961",0.1043
"12/08/1961",0.1049
"12/11/1961",0.1051
"12/12/1961",0.1066
"12/13/1961",0.106
"12/14/1961",0.1065
"12/15/1961",0.1081
"12/18/1961",0.1072
"12/19/1961",0.1067
"12/20/1961",0.1065
"12/21/1961",0.1065
"12/22/1961",0.1062
"12/26/1961",0.106
"12/27/1961",0.1056
"12/28/1961",0.1061
"12/29/1961",0.1061
"01/02/1962",0.1064
"01/03/1962",0.1066
"01/04/1962",0.106
"01/05/1962",0.1066
"01/08/1962",0.1066
"01/09/1962",0.1073
"01/10/1962",0.107
"01/11/1962",0.1074
"01/12/1962",0.1089
"01/15/1962",0.1086
"01/16/1962",0.1071
"01/17/1962",0.1076
"01/18/1962",0.1072
"01/19/1962",0.1072
"01/22/1962",0.1064
"01/23/1962",0.1067
"01/24/1962",0.1066
"01/25/1962",0.1062
"01/26/1962",0.1054
"01/29/1962",0.104
"01/30/1962",0.1036
"01/31/1962",0.104
"02/01/1962",0.1037
"02/02/1962",0.1049
"02/05/1962",0.1049
"02/06/1962",0.1043
"02/07/1962",0.1043
"02/08/1962",0.1037
"02/09/1962",0.1034
"02/12/1962",0.1035
"02/13/1962",0.1039
"02/14/1962",0.1043
"02/15/1962",0.1038
"02/16/1962",0.1028
"02/19/1962",0.1021
"02/20/1962",0.1021
"02/21/1962",0.1013
"02/23/1962",0.1017
"02/26/1962",0.1019
"02/27/1962",0.1012
"02/28/1962",0.1013
"03/01/1962",0.1022
"03/02/1962",0.1029
"03/05/1962",0.103
"03/06/1962",0.1027
"03/07/1962",0.1033
"03/08/1962",0.1036
"03/09/1962",0.1035
"03/12/1962",0.1023
"03/13/1962",0.1021
"03/14/1962",0.102
"03/15/1962",0.1019
"03/16/1962",0.1019
"03/19/1962",0.1016
"03/20/1962",0.1014
"03/21/1962",0.1022
"03/22/1962",0.102
"03/23/1962",0.1024
"03/26/1962",0.1028
"03/27/1962",0.1025
"03/28/1962",0.1023
"03/29/1962",0.1012
"03/30/1962",0.101
"04/02/1962",0.1012
"04/03/1962",0.1011
"04/04/1962",0.1013
"04/05/1962",0.102
"04/06/1962",0.1018
"04/09/1962",0.1019
"04/10/1962",0.1018
"04/11/1962",0.1014
"04/12/1962",0.1013
"04/13/1962",0.1003
"04/16/1962",0.1
"04/17/1962",0.0996
"04/18/1962",0.0987
"04/19/1962",0.0985
"04/23/1962",0.0971
"04/24/1962",0.0969
"04/25/1962",0.0959
"04/26/1962",0.0974
"04/27/1962",0.0981
"04/30/1962",0.0986
"05/01/1962",0.0991
"05/02/1962",0.1001
"05/03/1962",0.0992
"05/04/1962",0.0982
"05/07/1962",0.0974
"05/08/1962",0.0966
"05/09/1962",0.0955
"05/10/1962",0.0948
"05/11/1962",0.0931
"05/14/1962",0.0935
"05/15/1962",0.094
"05/16/1962",0.0945
"05/17/1962",0.0934
"05/18/1962",0.0916
"05/21/1962",0.0914
"05/22/1962",0.0881
"05/23/1962",0.0869
"05/24/1962",0.0868
"05/25/1962",0.0878
"05/28/1962",0.0865
"05/29/1962",0.0841
"05/31/1962",0.0844
"06/01/1962",0.0848
"06/04/1962",0.0859
"06/05/1962",0.0858
"06/06/1962",0.0846
"06/07/1962",0.0859
"06/08/1962",0.0854
"06/11/1962",0.0846
"06/12/1962",0.0849
"06/13/1962",0.0856
"06/14/1962",0.0851
"06/15/1962",0.0844
"06/18/1962",0.0847
"06/19/1962",0.0836
"06/20/1962",0.0825
"06/21/1962",0.0833
"06/22/1962",0.0833
"06/25/1962",0.0826
"06/26/1962",0.0818
"06/27/1962",0.0815
"06/28/1962",0.0808
"06/29/1962",0.0802
"07/02/1962",0.0787
"07/03/1962",0.079
"07/05/1962",0.0776
"07/06/1962",0.0768
"07/09/1962",0.075
"07/10/1962",0.076
"07/11/1962",0.0771
"07/12/1962",0.0796
"07/13/1962",0.0811
"07/16/1962",0.0819
"07/17/1962",0.0807
"07/18/1962",0.0795
"07/19/1962",0.0796
"07/20/1962",0.0806
"07/23/1962",0.0808
"07/24/1962",0.0815
"07/25/1962",0.0812
"07/26/1962",0.0811
